Date,HML,SG,SV,BG,BV,MOM,SL,SH,BL,BH
194512,-2.28,4.0814,1.6692,1.7707,-0.3677,1.25,3.23,2.12,0.77,4.38
194601,2.48,9.6521,12.2513,6.0984,8.4635,3.78,7.44,11.24,4.53,8.28
194602,-1.46,-6.2301,-7.3297,-5.8802,-7.7026,-1.44,-5.85,-7.05,-5.31,-7
194603,-0.54,6.5063,5.6932,5.1627,4.8957,2.68,4.45,6.38,5.31,8.74
194604,0.32,4.3708,6.3104,3.7606,2.4607,2.98,2.41,7.18,4.08,5.26
194605,1.28,6.7327,5.839,3.1851,6.645,-0.46,5.85,5.43,3.71,3.21
194606,-0.39,-4.6884,-5.9474,-4.4139,-3.9433,-2.5,-3.5,-5.88,-2.5,-5.12
194607,0.07,-4.823,-5.0232,-2.7259,-2.3882,-0.02,-4.79,-4.36,-2.27,-2.74
194608,0.55,-8.496,-7.5082,-6.3142,-6.1978,-0.04,-7.96,-8.73,-7.08,-6.39
194609,-1.92,-13.9706,-15.7756,-9.7783,-11.8073,0.74,-16.35,-14.14,-10.44,-11.16
194610,3.46,-3.1786,0.7589,-2.5023,0.48,1.03,-1.39,-0.91,-2.61,-1.03
194611,1.47,-1.5735,1.3003,-0.2321,-0.1738,0.19,-0.73,-0.98,-1.38,-0.76
194612,-1.36,5.7084,4.3376,5.2767,3.9343,-0.08,5.23,5.07,4.97,4.96
194701,-0.73,4.5305,3.2753,2.1741,1.9613,-6.36,6.23,2.92,7.42,-1.99
194702,0.15,-1.2703,0.873,0.071,-1.7817,-0.52,-0.53,0.28,0.14,-1.71
194703,0.61,-3.3564,-2.3985,-1.793,-1.5219,4.13,-5.42,-1.42,-4.66,-0.39
194704,0.85,-9.3357,-8.095,-5.1304,-4.6654,4.99,-11.53,-6.24,-8.65,-3.97
194705,0.33,-5.22,-3.6097,-1.1203,-2.0662,3.34,-6.35,-3.03,-3.76,-0.4
194706,-0.59,4.3188,5.0277,6.4523,4.5555,-1.67,5.62,2.87,5.52,4.92
194707,2.82,5.2344,7.0484,3.5118,7.3342,-3.43,7.06,5.54,8.38,3.03
194708,0.18,-1.8585,-1.1507,-1.8587,-2.1997,3.33,-2.71,0.62,-4.7,-1.38
194709,1.36,0.4098,2.6373,-0.6744,-0.1814,0.01,0.57,1.78,0.34,-0.85
194710,0.07,3.5397,2.9041,2.2304,3.0043,1.57,3.12,4.42,1.43,3.28
194711,1.1,-4.4555,-2.5478,-2.0816,-1.7796,4.27,-6.01,-1.42,-4.67,-0.73
194712,3.71,0.1759,3.0769,2.0173,6.5408,3.62,-0.06,3.99,0.9,4.1
194801,1.39,-1.7489,-0.1724,-4.539,-3.336,-4.3,1.09,-3.21,-1.24,-5.54
194802,0.07,-5.9905,-5.811,-4.6491,-4.6973,1.44,-7.32,-6.83,-6.13,-3.75
194803,4.5,6.4133,12.234,7.8154,11.0026,-0.31,9.03,9.28,10.42,9.54
194804,4.11,1.2935,4.686,2.2742,7.0963,4.09,1.94,5.05,1.26,6.34
194805,-1.27,9.3433,7.4827,8.505,7.8323,2.3,8.97,9.69,4.66,8.53
194806,2.81,-2.8594,0.4448,-0.6228,1.7011,4.08,-3.41,2.49,-0.97,1.28
194807,0.14,-5.0394,-5.4277,-5.0109,-4.3526,-1.61,-5.15,-6.17,-3.6,-5.79
194808,0.28,-1.2187,-0.3647,0.877,0.5907,0.23,-1.58,-0.03,1.25,0.16
194809,-1.71,-2.9725,-5.4006,-2.7272,-3.726,-1.31,-4.48,-5.48,-2.49,-4.1
194810,0.58,4.065,5.3752,6.4318,6.2724,2.8,3.1,6.77,5.31,7.24
194811,-4.13,-9.6917,-12.909,-8.3439,-13.3862,0.54,-12.64,-11.23,-10.47,-10.81
194812,-1.94,1.377,0.1269,4.9312,2.2947,4.63,-1.47,3.72,0.59,4.65
194901,1.23,1.2533,2.9558,0.5644,1.3304,-2.9,3.54,1.38,2.5,-1.16
194902,-0.86,-5.4013,-5.5692,-2.4792,-4.0374,-0.41,-5.18,-5.64,-3.06,-3.42
194903,1.29,6.3941,8.151,4.2292,5.0451,-0.94,7.7,6.86,5.34,4.3
194904,-1.13,-1.6677,-3.3838,-2.076,-2.6169,3.1,-4.7,-1.56,-4.34,-1.28
194905,-2.37,-3.8322,-5.1082,-1.8599,-5.3144,2.98,-7.18,-3.43,-4.26,-2.04
194906,-1.65,-1.3849,-1.1187,1.1072,-2.4522,-1.06,-0.44,-1.71,1.23,0.38
194907,0.37,6.4991,5.7226,5.2446,6.761,-1.49,6.69,6.06,7.1,4.75
194908,-0.55,3.2778,2.0828,2.7176,2.8063,1.72,1.3,4.14,2.33,2.93
194909,0.19,5.4115,4.0587,2.6496,4.3781,-1.41,5.51,4.94,5.49,3.23
194910,-0.48,5.086,4.1293,3.2656,3.2714,0.06,4.3,3.68,2.66,3.41
194911,-0.96,0.4606,0.0258,2.9316,1.4372,1.22,-0.21,1.08,1.78,2.94
194912,1.77,6.939,8.811,5.3244,6.9841,-0.78,8.8,7.64,6.54,6.14
195001,0.12,7.2216,4.6281,0.8634,3.6993,-2.34,6.98,3.63,3.21,1.89
195002,-0.79,1.6427,0.576,1.5742,1.0643,1.39,2.04,2.07,-0.07,2.68
195003,-2.81,2.4311,-2.0218,1.921,0.7578,1.47,-2.14,0.44,1.75,2.11
195004,1.3,5.809,7.3816,4.3505,5.3842,0.41,7.07,4.41,2.81,6.3
195005,0.46,1.6118,3.0579,4.6314,4.1046,0.37,2.67,2.92,4.79,5.29
195006,-0.7,-7.052,-8.9044,-5.457,-5.0086,-1.58,-6.77,-9.09,-5.15,-6
195007,13.56,0.9915,11.6038,-3.4767,13.0375,-0.47,5.45,6.42,1.39,-0.51
195008,-1.5,4.5476,5.0419,6.0952,2.6001,3.19,5.28,7.21,2.74,7.2
195009,-1.07,5.7172,4.9267,5.7728,4.4333,-0.17,5.8,5.32,5.18,5.32
195010,1.3,-0.3128,0.3019,-0.1764,1.8064,1.53,-0.9,0.54,-0.86,0.76
195011,3.33,0.2887,5.0141,2.4046,4.3401,3.63,1.4,4.81,-0.39,3.45
195012,7.36,5.1974,12.476,3.3433,10.792,4.99,6.22,11.84,2.38,6.75
195101,3.64,6.7818,10.6312,5.162,8.5984,2,7.98,10.03,4.56,6.52
195102,-2.85,1.8111,-0.2098,2.2422,-1.4461,-1.55,1.85,1.22,2.7,0.23
195103,-4.1,-1.5113,-5.6968,-0.7124,-4.7251,-2.97,-1.69,-5.45,-1.12,-3.3
195104,3.27,2.193,6.4513,4.4209,6.7054,6.01,1.54,5.66,0.89,8.79
195105,-1.37,-1.7383,-3.3139,-2.3408,-3.5148,-0.93,-3.22,-3.46,-0.73,-2.36
195106,-3.75,-3.9528,-7.1987,-2.1913,-6.4549,-2.38,-3.74,-7.54,-1.24,-2.2
195107,2.06,5.3862,6.7646,6.7108,9.4515,7.27,2.7,9.62,4.1,11.72
195108,-0.13,5.9784,5.0422,4.2212,4.8958,1,5.01,6.52,3.58,4.07
195109,0.63,2.3972,2.7886,0.5856,1.462,0.49,2.31,3.08,0,0.2
195110,0.23,-2.0489,-3.3423,-3.7969,-2.0471,-0.2,-2.45,-2.82,-1.87,-1.9
195111,-0.06,0.3986,0.3477,0.7789,0.708,0.57,-0.17,1.09,0.67,0.55
195112,-1.59,1.1428,0.5911,4.2486,1.6217,1.68,0.6,1.24,2.03,4.76
195201,1.55,1.6799,1.4297,0.4224,3.7717,1.35,1.29,2.27,1.57,3.29
195202,-0.61,-2.0438,-1.9656,-2.176,-3.476,-0.68,-1.84,-2.9,-3.04,-3.34
195203,2.17,1.2554,3.3327,4.371,6.627,1.59,2.07,3.01,3.81,6.04
195204,-0.1,-4.7813,-4.1123,-4.652,-5.5171,-2.06,-4.25,-5.65,-3.84,-6.56
195205,0.04,2.2833,2.7053,3.7903,3.4577,0.51,1.43,2.74,3.8,3.52
195206,1.24,1.6669,3.3299,3.9018,4.7258,1.48,1.86,3.3,3.04,4.55
195207,-0.35,0.9702,-0.1746,1.2211,1.6605,-0.57,0.68,0.78,1.87,0.62
195208,0.01,0.0304,0.2266,-0.7879,-0.9709,0.34,0.18,0.78,-0.86,-0.77
195209,-1.52,0.1735,-2.1912,-1.6986,-2.3742,1.7,-2.45,-0.76,-3.32,-1.61
195210,-0.46,-0.7374,-1.9705,-0.7482,-0.4279,2.82,-2.98,0.67,-1.89,0.09
195211,0.97,5.5155,6.0762,6.2609,7.642,0.48,5.75,6.13,6.19,6.78
195212,0.19,1.9113,1.7299,3.1486,3.7045,1.59,1.38,2.75,2.08,3.9
195301,1.32,3.7943,3.9666,-0.9102,1.5482,0.71,3.63,4,-1.48,-0.43
195302,-0.09,1.3219,1.7434,-0.2122,-0.8049,0.88,1.36,2.81,-0.4,-0.08
195303,-0.85,-1.7287,-2.0624,-1.2085,-2.5659,0.07,-2.3,-1.43,-1.15,-1.89
195304,1.57,-3.0868,-1.0693,-2.9693,-1.8519,1.91,-2.64,-1.8,-4.57,-1.58
195305,0.23,0.7109,0.7102,0.8917,1.3513,0.94,-0.27,1.26,0.79,1.14
195306,-0.47,-3.1979,-3.9949,-1.7001,-1.8494,0,-4.35,-2.96,-0.93,-2.33
195307,-0.22,0.8551,1.5137,2.9809,1.8848,-0.25,1.46,1.46,3.05,2.55
195308,-3.53,-3.2764,-6.3306,-3.9714,-7.9756,2.12,-7.31,-4.31,-5.36,-4.12
195309,-2.44,0.0385,-2.2912,0.8979,-1.6532,2.85,-2.93,-0.35,-1.02,2.1
195310,-0.25,3.142,3.0779,5.083,4.6557,0.21,3.31,4.02,4.79,4.51
195311,-0.15,1.5292,1.2857,3.352,3.2942,1.9,1.36,2.24,1.36,4.27
195312,-2.84,0.2591,-2.7596,0.528,-2.1293,5.21,-5.4,1.09,-2.7,1.22
195401,3.44,4.7348,8.1997,4.4643,7.8701,-5.83,10.09,3.67,9.21,3.97
195402,-0.29,1.0862,1.408,1.6515,0.754,1.04,0.53,1.73,1.26,2.15
195403,-1.5,2.6329,2.1357,4.244,1.746,2.04,1.96,3.78,2.83,5.07
195404,-0.34,-0.2482,0.3977,5.3108,3.9896,4.97,-1.42,1.91,-0.26,6.35
195405,2.45,3.9802,5.1167,2.8614,6.6242,-1.9,5.81,5.7,5.64,1.96
195406,0.01,0.5735,1.3752,1.8428,1.0571,3.51,-0.29,2.6,-2.35,1.77
195407,4.13,5.5421,9.1082,4.295,8.9941,0.48,7.61,8.64,4.15,4.08
195408,-1.38,-0.1185,-0.887,-2.9947,-4.9917,-0.66,-0.1,-0.16,-2.1,-3.36
195409,0.68,2.8897,4.6674,6.8828,6.4643,1.56,3.81,4.69,6.09,8.34
195410,0.67,0.5601,-0.7137,-2.2614,0.3434,0.95,-1.02,-0.1,-1.54,-0.56
195411,4.4,7.0826,9.6613,9.5778,15.7986,1.9,9.7,9.11,6.5,10.89
195412,5.66,7.5331,11.3905,4.2803,11.744,-1.33,11.97,8.53,5.04,5.82
195501,2.14,1.5894,2.3861,0.0723,3.5499,1.36,0.73,2.12,0.09,1.41
195502,0.58,3.8044,4.6345,3.0684,3.4022,1.09,3.43,5.46,3.21,3.36
195503,1.97,-0.778,0.6753,-0.2787,2.2127,1.04,0.1,0.62,-0.37,1.19
195504,0.68,1.6264,2.6442,4.0887,4.4324,0.07,1.52,1.5,2.32,2.48
195505,-0.96,0.5818,0.4058,1.9461,0.1997,0.51,0.68,0.71,0.5,1.49
195506,1.84,2.1083,3.5315,6.5865,8.8422,4.62,1.4,4.18,3.64,10.1
195507,0.35,-1.6321,1.306,2.6436,0.396,-1.21,0.57,0.25,0.94,-1.16
195508,0.72,-0.0701,0.2659,0.3402,1.4474,1.79,-0.61,1.29,-0.42,1.26
195509,-0.99,-0.7222,-0.3441,0.0578,-2.299,1.82,-0.39,0.82,-1.09,1.34
195510,-0.15,-1.4384,-1.2686,-2.8186,-3.2838,-0.6,-1.98,-0.88,-1.62,-3.91
195511,0.33,5.9972,5.2657,8.3322,9.7196,2.7,5.58,6.57,4.38,8.79
195512,-2.3,3.4725,2.5601,1.9789,-1.7027,-1.35,3.87,3.18,3.15,1.14
195601,0.95,-2.3277,-1.7034,-3.6267,-2.3554,-1.4,-2.07,-1.99,-1.34,-4.21
195602,-0.43,1.9377,2.3804,4.7654,3.46,1.96,2.24,4.33,2.71,4.54
195603,-0.46,3.4322,5.1882,7.8836,5.1985,3.6,2.47,6.15,4.61,8.12
195604,-0.24,1.2824,0.0938,0.107,0.8141,2.58,-0.5,1.74,-1.53,1.4
195605,-1.31,-3.398,-4.5065,-5.1203,-6.625,-1.61,-3.78,-4.07,-3.17,-6.1
195606,-1.13,1.0128,1.3162,4.3047,1.7512,2.73,0.46,3.27,2.43,5.09
195607,-0.04,3.3517,3.4705,5.0829,4.8851,2.5,2.36,4.83,3.21,5.73
195608,-0.74,-0.2685,-2.1439,-3.5272,-3.129,-0.69,-1.6,-0.96,-2.68,-4.7
195609,1.76,-3.3845,-2.1313,-5.9383,-3.6745,-0.75,-3.19,-2.72,-4.59,-6.56
195610,-0.06,1.1872,0.4057,0.6819,1.3341,2.43,-1.5,2.41,0.51,1.47
195611,1.78,-0.3115,2.2516,-0.3983,0.591,3.41,0.49,2.15,-2.52,2.64
195612,-2.15,4.3647,2.2078,3.8264,1.6819,3.82,0.13,5.65,2.65,4.77
195701,2.81,-0.7927,2.0202,-4.4516,-1.6359,-3.09,3.53,-0.23,-2.6,-5.01
195702,-0.72,-2.8013,-2.7095,-1.5275,-3.0645,0.32,-3.51,-2.54,-2.31,-2.64
195703,-0.48,2.2189,2.2445,2.7044,1.7164,-0.18,2.56,1.58,1.68,2.29
195704,-1.45,2.2226,2.332,5.6088,2.6036,1,1.44,2.22,4.34,5.56
195705,-2.1,3.0121,1.7131,4.7371,1.8302,0.48,1.71,1.18,3.45,4.95
195706,0.01,0.0903,0.7272,-0.1233,-0.7328,0.79,-1.41,-0.74,-0.6,0.31
195707,0.43,-0.6273,0.4256,1.2811,1.0783,-0.07,-0.02,-0.03,0.8,0.67
195708,-0.41,-4.9836,-5.1912,-5.4514,-6.0634,0.47,-5.8,-5.28,-6.2,-5.77
195709,0.92,-7.1005,-5.0458,-6.3295,-6.5429,0.53,-6.53,-4.69,-5.9,-6.69
195710,-1.8,-8.1775,-8.2617,-3.771,-7.2925,1.95,-8.72,-7.56,-6.05,-3.31
195711,-2.87,3.2423,1.0946,3.0955,-0.5021,1.27,0.61,2.97,3.44,3.63
195712,-1.62,-4.601,-5.8678,-3.9214,-5.8875,7.82,-9.35,-1.62,-9.46,-1.56
195801,4.19,12.2097,11.9178,3.3984,12.0687,-7.62,16.4,7.21,8.91,2.86
195802,0.33,-1.6496,-0.5017,-1.8071,-2.2917,3.73,-3.56,1.37,-3.11,-0.6
195803,-0.97,5.0565,3.1135,3.4064,3.4058,-1.88,5.38,4.91,6.52,3.23
195804,1.61,2.948,4.3224,3.332,5.1872,1.84,1.96,4.37,1.57,2.83
195805,-0.26,6.4635,4.2645,2.0583,3.7347,-1.8,5.33,3.62,3.93,2.03
195806,0.4,2.1201,2.991,3.1465,3.0753,-0.88,3.34,2.62,3.92,2.88
195807,3.06,4.2272,7.1336,4.3856,7.609,-3.7,8.17,3.1,4.4,2.08
195808,0.36,4.3354,3.2318,1.7085,3.5333,0.21,2.51,4.62,2.61,0.91
195809,2.85,5.5017,7.7889,4.7619,8.1716,-1.1,6.55,4.94,5.07,4.49
195810,-1.18,6.9335,3.0463,2.607,4.1345,3.15,2.63,5.17,1.48,5.23
195811,-1.18,7.6723,4.0856,3.3185,4.5387,1.58,3.75,4.77,2.35,4.5
195812,0.03,2.7461,3.8361,4.975,3.9448,-0.63,4.39,3.14,5.65,5.64
195901,2.91,4.4917,5.6035,-0.6209,4.0781,-0.26,4.6,4.3,0.83,0.6
195902,1.16,2.3973,2.9076,0.4613,2.2671,3.45,1.97,4.3,-1.1,3.47
195903,-0.34,1.606,1.7328,0.7407,-0.0759,0.16,0.95,1.81,0.89,0.33
195904,-1.23,3.777,2.1226,4.7089,3.8935,3.17,1.45,4.18,2.47,6.08
195905,1.79,-1.407,1.3377,2.7434,3.5877,1.49,0.76,0.29,0.88,4.32
195906,1.31,1.7232,1.8299,-0.3827,2.1358,2.9,-0.82,1.54,-1.21,2.23
195907,0.23,2.1952,3.5632,3.9908,3.0828,-0.3,2.45,3.97,3.81,1.7
195908,0.44,-1.8317,-1.913,-1.3549,-0.3839,-1,-0.81,-2.78,-2.23,-2.26
195909,0.55,-5.3951,-3.995,-5.0254,-5.3237,0.93,-4.99,-4.72,-5.81,-4.23
195910,-2.1,3.9778,1.1012,1.4464,0.1319,3.71,0.53,4.7,0.37,3.63
195911,-3.21,3.8377,0.5945,3.0126,-0.1725,2.23,0.82,2.75,0.36,2.89
195912,-0.07,3.426,2.1134,2.9781,4.16,1.03,0.97,3.49,2.98,2.52
196001,2.78,-5.8167,-2.8628,-8.2071,-5.5931,-3.54,-1.43,-6.05,-5.53,-7.98
196002,-1.93,2.0494,0.5956,1.3139,-1.0929,3.92,-0.28,2.3,-2.34,2.93
196003,-2.94,-2.2401,-3.9046,-0.8789,-5.0967,1.38,-4.07,-2.08,-1.36,-0.59
196004,-2.28,0.1366,-2.9882,-1.5721,-3.0143,2.84,-4.19,-1.16,-2.66,-0.02
196005,-3.7,5.2614,2.451,4.31,-0.2716,4.79,0.85,4.2,-0.17,6.05
196006,-0.34,2.3744,1.4522,2.5669,2.7993,0.86,1.45,2.33,1.92,2.75
196007,1.98,-3.2061,-1.4318,-3.4769,-1.2884,-0.81,-2.45,-2.37,-0.79,-2.49
196008,-0.18,4.1735,4.1669,2.7378,2.3875,1.91,3.77,5.97,2.24,3.86
196009,1.62,-7.6558,-6.0058,-6.7352,-5.148,0.32,-8.16,-5.33,-4.42,-6.62
196010,2.83,-6.7183,-2.762,-0.614,1.0929,1.25,-4.7,-3.15,-1.1,-0.14
196011,-2.43,6.5493,3.1327,5.4248,3.9773,3.78,3.24,7.59,3.28,6.49
196012,-0.81,4.1529,2.4035,3.5644,3.6988,1.41,3,3.24,4.25,6.84
196101,3.72,7.4118,9.6199,4.9162,10.1383,-4,12.19,5.88,6.88,5.2
196102,-0.66,7.771,7.3587,4.0441,3.1417,0.98,6.67,8.56,4.01,4.08
196103,-0.73,7.362,5.9946,2.1715,2.075,4.54,3.59,9.9,1.33,4.11
196104,2.12,1.136,2.3956,-0.3161,2.6644,3.6,-0.16,2.92,-2.98,1.14
196105,0.37,3.5699,4.8259,3.1987,2.6756,-1.57,5.75,3.99,3.11,1.72
196106,-0.14,-5.8585,-5.5313,-2.2745,-2.8821,0.33,-5.99,-5.11,-2.59,-2.8
196107,-0.09,-0.5142,1.3313,3.1593,1.1407,0.27,1.22,0.61,2.47,3.62
196108,-0.28,0.7691,1.1012,3.2055,2.3077,1.59,0.6,1.91,1.86,3.74
196109,-0.61,-4.6924,-3.3019,-1.176,-3.7784,0.82,-4.59,-2.34,-1.41,-2.03
196110,0.15,0.8745,0.2788,2.2585,3.1468,3.11,-0.51,3.3,1.81,4.22
196111,-1.23,6.5024,4.7062,4.8918,4.2212,1.35,4.59,6.48,3.63,4.44
196112,1.79,-1.2784,0.3555,-0.2199,1.7303,-2.21,0.82,-0.44,0.55,-2.6
196201,5.13,-2.605,2.2592,-5.0016,0.3934,-2.03,0.96,-1.96,-3.67,-4.82
196202,0.82,0.7054,1.7967,1.8606,2.4047,-1.01,1.87,-0.1,0.76,0.72
196203,-1.38,0.4216,-0.5598,-0.3751,-2.1517,1.84,-2.2,0.36,-1.21,-0.09
196204,0.03,-6.3111,-6.8347,-6.6656,-6.0788,2.91,-9.08,-6.91,-8.69,-5.05
196205,2.77,-12.252,-9.5501,-9.0826,-6.2353,0.41,-10.86,-10.58,-8.6,-8.05
196206,2.55,-9.7765,-7.059,-9.0125,-6.6288,6.46,-12.2,-5.99,-12.8,-6.09
196207,-3.41,8.943,6.5163,7.8649,3.4812,0.52,7.27,6.1,4.56,6.78
196208,-1.2,4.5675,2.4273,2.7447,2.494,-0.6,4.2,2.43,2.46,3.04
196209,1.28,-8.0572,-6.193,-5.0148,-4.314,3.95,-9.15,-5.21,-7,-3.05
196210,1.3,-4.9603,-2.0999,0.5823,0.3196,0.76,-4.09,-3.27,-0.18,0.52
196211,0.95,14.9374,14.3781,11.3537,13.8057,-7.16,18.54,11.37,16.07,8.91
196212,0.36,-3.5883,-2.179,1.5329,0.8372,5.89,-5.61,1.06,-1.5,3.61
196301,2.21,7.6553,9.819,4.9537,7.2031,-2.11,10.47,8.2,6.31,4.36
196302,2.18,-2.5588,0.001,-2.7851,-0.9838,2.53,-2.93,0.61,-3.45,-1.95
196303,2.06,-0.0316,2.4028,3.4082,5.0932,1.62,0.61,2.69,3.38,4.55
196304,1,3.6602,4.8496,4.9908,5.7941,-0.09,2.98,4.07,6,4.74
196305,2.54,1.8071,5.4639,2.252,3.682,0.33,4.11,4.46,2.34,2.66
196306,0.75,-1.2773,-1.7731,-2.326,-0.332,1.21,-1.14,-0.99,-3,-0.73
196307,-0.97,-0.996,-1.1202,-0.0411,-1.8554,0.9,-1.33,-1.07,-1.53,0
196308,1.8,4.5361,5.7786,5.389,7.7374,1.01,4.09,6.36,5.86,5.62
196309,0.13,-3.0338,-1.9949,-1.0644,-1.85,0.19,-1.87,-1.27,-2.45,-2.66
196310,-0.1,1.2001,2.7144,3.8445,2.1333,3.12,1.05,3.52,0.81,4.57
196311,1.75,-2.9288,-0.3615,-0.2458,0.6863,-0.74,-2.32,-1.41,-0.33,-2.72
196312,-0.02,0.26,0.1898,2.0405,2.0776,1.75,-1.67,0.24,0.96,2.53
196401,1.48,0.8461,3.9545,2.6865,2.5345,0.86,2.52,1.54,0.27,2.96
196402,2.81,1.5955,4.1435,1.4253,4.4977,0.26,2.87,2.96,1.28,1.72
196403,3.4,0.5705,5.1951,0.9246,3.1099,0.75,2.64,3.77,1.38,1.75
196404,-0.67,-1.7606,-1.4626,0.4194,-1.2104,-0.58,-0.22,-0.4,1.15,0.17
196405,1.86,0.9717,2.0641,1.5106,4.1377,2.57,0.01,2.31,0.26,3.09
196406,0.62,1.3983,1.9892,1.6666,2.3232,0.46,1,1.51,1.33,1.73
196407,0.75,1.5138,2.6263,1.9299,2.3212,-0.35,2.51,2.46,2.79,2.13
196408,0.08,-1.4974,-1.2129,-1.2341,-1.3608,-0.22,-1.32,-0.83,-0.36,-1.27
196409,1.7,3.3709,3.5648,2.3822,5.5787,-0.41,4.24,3.63,3.73,3.52
196410,1.17,1.1,2.341,0.2758,1.3829,0.08,0.65,1.76,1.59,0.64
196411,-1.96,-0.1715,0.0818,0.4912,-3.681,1.03,-1.17,-0.21,0.03,1.12
196412,-2.48,0.3628,-1.5316,1.1149,-1.9539,-0.74,-1.27,-1.28,1.51,0.04
196501,0.12,7.0003,6.6399,3.9591,4.5649,-1.44,7.68,6.02,3.7,2.48
196502,0.11,3.7212,4.3507,0.601,0.1864,0.32,2.84,4.32,1.49,0.65
196503,1.03,0.8913,1.5186,-1.1241,0.314,0.15,1.68,1.44,-1.11,-0.56
196504,0.66,3.1183,5.2843,3.8016,2.9536,2.63,3.41,5.45,2.51,5.72
196505,-1.61,-0.1126,-1.3166,-0.2667,-2.2744,0.6,-1.46,-0.55,-0.09,0.19
196506,0.59,-9.9226,-8.5618,-4.5515,-4.727,-3.13,-8.24,-10.26,-3.53,-7.76
196507,2.2,2.5334,4.1342,1.3395,4.1297,4.1,1.68,4.93,0.22,5.18
